Filename,Split,Class,Width,Height,Aspect_Ratio,Pixels
1-1-_jpg.rf.eebf0e87892957114c91ca6a3ced8e50.jpg,train,demodicosis,640,640,1.0,409600
1-1-_jpg.rf.eebf0e87892957114c91ca6a3ced8e50_aug.jpg,train,demodicosis,640,640,1.0,409600
1-10-_jpg.rf.d8877fd2d14646b426b4216b8fc8f9eb.jpg,train,demodicosis,640,640,1.0,409600
1-10-_jpg.rf.d8877fd2d14646b426b4216b8fc8f9eb_aug.jpg,train,demodicosis,640,640,1.0,409600
1-10-_png_jpg.rf.2dc165ea07aef1847abdab2524e97b27.jpg,train,demodicosis,640,640,1.0,409600
1-10-_png_jpg.rf.2dc165ea07aef1847abdab2524e97b27_aug.jpg,train,demodicosis,640,640,1.0,409600
1-10-_png_jpg.rf.52d5ab90bb3854c1af5206e5aed04c9f.jpg,train,demodicosis,640,640,1.0,409600
1-10-_png_jpg.rf.52d5ab90bb3854c1af5206e5aed04c9f_aug.jpg,train,demodicosis,640,640,1.0,409600
1-11-_jpg.rf.643953b45247b42350cefdcc1945c00c.jpg,train,demodicosis,640,640,1.0,409600
1-11-_jpg.rf.643953b45247b42350cefdcc1945c00c_aug.jpg,train,demodicosis,640,640,1.0,409600
1-11-_jpg.rf.b6f0675e7595cdfab226b33a33e0232d.jpg,train,demodicosis,640,640,1.0,409600
1-11-_jpg.rf.b6f0675e7595cdfab226b33a33e0232d_aug.jpg,train,demodicosis,640,640,1.0,409600
1-11-_png_jpg.rf.f60e4f582d58a9cb0269c1553d6efd56.jpg,train,demodicosis,640,640,1.0,409600
1-11-_png_jpg.rf.f60e4f582d58a9cb0269c1553d6efd56_aug.jpg,train,demodicosis,640,640,1.0,409600
1-12-_jpg.rf.3ad55b19d283c4c3f5c9fb07af1f553a.jpg,train,demodicosis,640,640,1.0,409600
1-12-_jpg.rf.3ad55b19d283c4c3f5c9fb07af1f553a_aug.jpg,train,demodicosis,640,640,1.0,409600
1-12-_jpg.rf.79a14b675def8cb1dbd709ac23af91f4.jpg,train,demodicosis,640,640,1.0,409600
1-12-_jpg.rf.79a14b675def8cb1dbd709ac23af91f4_aug.jpg,train,demodicosis,640,640,1.0,409600
1-12-_png_jpg.rf.4bb7a154788da5322007dd8cd194e7e3.jpg,train,demodicosis,640,640,1.0,409600
1-12-_png_jpg.rf.4bb7a154788da5322007dd8cd194e7e3_aug.jpg,train,demodicosis,640,640,1.0,409600
1-12-_png_jpg.rf.63e9aa674cb4c4caf3f01d686c85fc98.jpg,train,demodicosis,640,640,1.0,409600
1-12-_png_jpg.rf.63e9aa674cb4c4caf3f01d686c85fc98_aug.jpg,train,demodicosis,640,640,1.0,409600
1-12-_png_jpg.rf.f3feac45aa857a4979a2a8965024db4b.jpg,train,demodicosis,640,640,1.0,409600
